업체코드,업체명,업종,현역배정인원,현역편입인원,현역복무인원,보충역배정인원,보충역편입인원,보충역복무인원,채용유무
120161105,에이피테크이십일,기계,0,0,1,1476,0,0,
120011876,(주)경원상사,섬유,0,0,0,320,0,2,
120100018,(주)국제라텍,화학,0,0,0,1501,2,8,
120200615,(유)이룸산업,기계,1,0,0,460,0,0,
120150650,(유)슬렉슨,정보처리,0,0,0,665,0,0,
120100273,(유)한성산기,전기,0,0,1,320,0,2,
120171386,(유)씨앤씨,화학,0,0,1,593,0,0,
120200616,(유)이원마린,기계,0,0,0,460,0,0,
120191110,(주)가람,기계,0,0,0,815,0,0,
120001430,(유)삼학콘크리트,시멘요업,0,0,0,320,0,0,
119960329,(유)현대기공,기계,1,0,2,815,0,1,
120001256,(유)승산,화학,0,0,0,460,2,4,
120012738,(주)KTE,기계,1,1,3,534,0,1,
120171382,(주)가람테크,기계,0,0,0,813,0,1,
119740024,(주)KSS해운-산업,외항화물,0,0,0,534,0,0,
120160910,(자)성창레미콘,시멘요업,0,0,0,0,0,2,
120160890,(주)가야데이터,통신기기,0,0,1,815,0,0,
120180290,(주)가온테크원,철강,0,0,0,1501,0,0,
120060179,(유)한스,시멘요업,0,0,0,0,0,0,
120150134,(유)대호,기계,0,0,2,815,0,5,모집중
120161103,(주) 성진테크,기계,0,0,2,1476,0,3,모집중
120171597,(유)효송그린푸드,수산물가공,0,0,0,320,0,1,
120161243,(주) 세진크랭크,기계,0,0,2,1476,0,0,
120190225,(주)감동란,식음료,0,0,0,813,0,1,
120150266,(주)가스트론,전기,2,2,3,1501,0,0,
120190792,(유)범진금속,기계,0,0,1,815,0,2,
120161255,(주)나인텍,기계,1,0,0,1476,0,1,모집중
120200311,(유)아홉,정보처리,1,0,0,665,0,0,모집중
120140391,(주)강성기어제작소,기계,0,0,1,665,0,0,
120120030,(유)케이테크코리아,철강,0,0,1,460,0,0,
120150811,(유)고려전기,전기,0,0,0,320,0,1,
120200049,(주)가온셀,전기,0,0,0,320,0,0,
120200051,(유)해양전자장비,통신기기,0,0,0,320,0,0,
120190010,(유)동성사,기계,1,0,3,320,1,5,
120190845,(주)가온솔루션,기계,0,0,0,1501,0,0,
120190677,(주)광명테크(경주),기계,0,0,1,1148,0,0,
120090341,(유)비알엠,기계,0,0,0,320,1,1,
119910609,(주)KJ컴텍,전자,0,0,0,1476,0,1,
120171245,(유)고려소재 신평공장,전기,0,0,1,813,0,0,
120190710,(주)YH데이타베이스,정보처리,1,1,1,1148,0,1,
120190011,(유)성원엘리베이터,기계,0,0,1,320,1,3,
120160346,(주) 대덕테크,기계,0,0,2,813,0,0,모집중
120012861,(주)MJ산업,철강,0,0,0,0,0,1,
120090317,(주)G-알켐,전기,1,0,2,460,0,0,모집중
120160036,(주)광성테크,기계,0,0,0,0,0,2,
120180045,(주)노비텍,기계,0,0,1,665,0,0,
120190854,(주)나진,기계,0,0,1,1501,0,2,
120200622,(유)장성테크,기계,1,1,1,460,0,0,
120190869,(주)가람산전,기계,0,0,0,1501,0,0,
120200482,(주)가자,기계,1,0,0,320,0,0,
120110517,(유)성문,기계,1,0,3,460,0,0,
120180137,(주)강산테크,기계,0,0,1,1501,0,0,
120000643,(유)웅진기계,기계,0,0,0,320,0,1,
120170583,(주)노바테크,통신기기,0,0,0,534,0,0,
120171023,(주)넥스컴스,기계,0,0,2,813,1,7,
120190770,(유)케이피알커뮤니케이션,화학,0,0,0,531,0,0,
120120224,(주)광성,섬유,1,0,3,1148,0,2,
120110307,(주)거산,기계,0,0,0,815,0,1,
120160508,(주)금원하이텍,전기,1,1,2,531,0,0,
120191262,(주)남주실업,화학,0,0,1,460,1,1,
120161151,(주) 씨앤디마이크로,통신기기,0,0,1,1476,0,1,
120200966,(주)가야테크,철강,1,0,0,815,0,0,
120171406,(주)다솜테크,철강,0,0,1,813,0,4,
120200941,(유)금화이엔에스,전기,1,0,0,460,1,1,
120200711,(주)거진정공,통신기기,2,0,0,1501,0,0,
120171642,(주)노바프로 부천지점,기계,0,0,2,1476,1,6,
120160808,(주) 주왕산업,통신기기,0,0,0,320,0,0,
120001131,(주)다원,화학,0,0,0,460,0,0,
120080058,(주)니텍스제침,기계,1,1,4,1148,0,1,
120140525,(주)나노테크 북이공장,전자,1,0,2,593,0,0,모집중
120140400,(주)기흥기계,기계,1,1,1,813,0,0,
120200445,(주)강진테크,전기,1,0,0,813,0,0,
120200052,(주)거성푸드,농산물가공,0,0,0,531,0,0,
120190762,(주)다스,기계,0,0,0,1148,0,0,
120180850,(주)금강특장차,기계,1,0,2,1476,0,0,
120170398,(주)거원산업,철강,2,1,2,460,0,1,
120190318,(주)남영기계,기계,0,0,0,1476,0,1,
120200085,(주)가람,시멘요업,0,0,0,1148,0,0,
120100097,(주)고려기연,기계,0,0,3,665,0,0,
120191120,(주)나산전기산업,전기,0,0,1,815,0,0,
120160301,(주)그린폴리머,화학,1,0,3,813,0,2,
120190049,(유)아리울수산,수산물가공,0,0,0,320,0,0,
120160478,(주)경광기업,기계,0,0,0,0,0,1,
120190329,(주)가온유압,기계,0,0,0,1476,0,0,모집중
120050010,(주)다임코,기계,0,0,0,1476,0,2,
120191142,(주)남광디씨텍,철강,2,2,3,815,0,0,
120160441,(주)건양,화학,0,0,0,534,2,2,
120200273,(주)경우시스테크,전자,1,0,0,665,1,1,
120160064,(주)경민에프에이,전기,1,1,2,813,0,1,
120191183,(주)게임스프링,게임S/W,2,1,3,665,1,5,모집중
120001112,(주)그린원일,화학,0,0,0,815,0,5,
120190811,(주)남경테크,기계,1,1,1,815,0,1,
120200777,(주)글로벌디펜스,기계,1,0,0,1501,0,0,모집중
120181012,(주)건화이엔지,철강,0,0,0,1148,0,0,
120070285,(주)글로벌스탠다드테크놀로지,기계,2,2,4,1501,0,0,
120110528,(주)금창,기계,1,0,3,1148,0,0,
120161236,(주)다산정보통신,통신기기,0,0,1,1476,0,1,
120170871,(주)갑진,전기,0,0,1,0,0,0,
120002203,(주)다하미커뮤니케이션즈,정보처리,0,0,0,665,1,5,
120190460,(주)가나씨앤피,화학,0,0,0,1476,0,0,
120070149,(주)금영제너럴,기계,0,0,1,531,1,7,
120070234,(주)거성,기계,2,0,4,813,0,0,
120180143,(주)다스(군포),전자,1,0,2,1501,0,1,
120140155,(주)경서글로텍,기계,1,0,2,1476,1,1,
120180933,(주)글로벌브릿지,통신기기,0,0,2,1476,0,4,
120161215,(주) 동일공사,기계,0,0,0,1476,0,1,
120161207,(주) 삼중,화학,1,1,1,813,0,1,모집중
120171072,(주)기남금속,기계,1,0,3,1148,0,0,
120200015,(주)가나스틸,철강,0,0,0,813,0,1,
120150448,(주)건일이엔지,전기,0,0,0,1501,0,1,
120191131,(주)거명,전자,0,0,1,815,0,1,
120180490,(주)강진산업,기계,0,0,1,320,0,0,
120080351,(유)한독엘리베이터,기계,0,0,0,320,0,2,모집중
120190668,(주)건아정밀,기계,0,0,0,1148,0,0,
120200665,(주)건승테크,기계,1,0,0,1501,0,1,
120200293,(주)나누고,정보처리,1,1,1,665,2,2,
120190611,(주)경원,생활용품,0,0,0,531,0,2,모집중
120070123,(주)갈라랩,게임S/W,0,0,0,1501,0,1,
120170539,(주)가스로드,기계,0,0,2,0,0,0,
120170991,(주)거상,생활용품,0,0,0,531,0,2,
120200888,(주)경동,기계,1,0,0,1148,0,0,
120200865,(주)거빈,화학,0,0,0,1148,1,2,
120180502,(주)대경열처리 진주지점,철강,1,0,0,815,0,2,
120200264,(주)긱블,생활용품,1,0,0,665,0,0,
120190779,(주)경도,기계,0,0,1,815,0,0,
120090335,(유)허니비,식음료,0,0,0,460,0,4,모집중
120100327,(주)나노솔루션,통신기기,0,0,0,460,0,0,모집중
120140331,(주)경남특장차,기계,1,0,1,815,1,1,모집중
119970038,(유)한국특수산업,철강,0,0,1,460,0,1,모집중
120120353,(주)거봉,전자,0,0,4,0,0,0,
120200034,(주)게임베리,정보처리,0,0,0,665,0,0,
120200866,(주)거성피엔피,화학,1,1,1,1148,0,0,
120200149,(주)가영코스메틱,화학,1,0,0,531,2,2,모집중
120190954,(주)다인시스,전자,0,0,1,1501,0,0,
